C_V,best_n_V,best_n_M,best_p_M,best_p_V,best_r_M,best_r_V,best_R_MV,best_R_V_subscriber,best_R_V_retained,best_R_industry_net,best_residual
360.0,1801.0,199.0,51.55780571144675,1.7068420988396964,32.1608040201005,1.9988895058300942,12526.623694587166,3074.0226200102934,807.4022620010294,13334.025956588195,4.547473508864641e-13
370.0,1801.0,199.0,51.001925658063385,1.798172012800078,31.658291457286428,2.0544142143253747,12564.040221502259,3238.5077950529403,823.850779505294,13387.891001007552,6.821210263296962e-13
380.0,1801.0,199.0,50.450790988574745,1.8870661697406157,31.15577889447236,2.109938922820655,12598.45296125894,3398.6061717028488,839.860617170285,13438.313578429224,2.2737367544323206e-13
390.0,1802.0,198.0,50.16228884007168,1.9718008144437271,30.808080808080806,2.164261931187569,12629.99975119903,3553.1850676275963,855.3185067627596,13485.31825796179,4.547473508864641e-13
400.0,1802.0,198.0,49.618974884320096,2.056193507724694,30.3030303030303,2.2197558268590454,12659.291657923288,3705.260700919898,870.5260700919898,13529.817728015278,6.821210263296962e-13
410.0,1802.0,198.0,49.07878762935347,2.138502216359265,29.797979797979796,2.2752497225305213,12685.822845103445,3853.5809938793955,885.3580993879395,13571.180944491383,0.0
420.0,1802.0,198.0,48.541233027208364,2.218827388289467,29.29292929292929,2.3307436182019976,12709.658397715113,3998.3269536976195,899.832695369762,13609.491093084875,6.821210263296962e-13
430.0,1802.0,198.0,48.00583441674489,2.2972623796567806,28.787878787878785,2.3862375138734735,12730.855341842853,4139.666808141518,913.9666808141519,13644.822022657005,2.0463630789890885e-12
440.0,1802.0,198.0,47.472129714298816,2.373894107072443,28.28282828282828,2.44173140954495,12749.463146281254,4277.757180944542,927.7757180944542,13677.238864375708,2.2737367544323206e-13
450.0,1802.0,198.0,46.93966881348466,2.448803626579305,27.777777777777775,2.497225305216426,12765.52414665628,4412.744135095908,941.2744135095909,13706.79856016587,4.547473508864641e-13
460.0,1802.0,198.0,46.40801115507598,2.522066648975222,27.272727272727273,2.552719200887902,12779.07390001306,4544.76410145335,954.476410145335,13733.550310158396,4.547473508864641e-13
470.0,1802.0,198.0,45.876723432315636,2.593753999711768,26.767676767676768,2.6082130965593784,12790.141476331042,4673.944707480606,967.3944707480606,13757.5359470791,9.094947017729282e-13
480.0,1802.0,198.0,45.34537740044753,2.663932030371209,26.262626262626263,2.6637069922308543,12798.749692144638,4800.405518728919,980.0405518728919,13778.790244017531,1.8189894035458565e-12
485.0,1802.0,198.0,45.07954955468962,2.6984746538230304,26.01010101010101,2.691453940066592,12802.137005398734,4862.6513261891005,986.26513261891,13788.402138017645,1.8189894035458565e-12
486.0,1802.0,198.0,45.026364808659295,2.7053404303663995,25.95959595959596,2.69700332963374,12802.741342082765,4875.023455520251,987.5023455520252,13790.243687634791,1.5916157281026244e-12
487.0,1802.0,198.0,44.97317268060242,2.7121920943067193,25.909090909090907,2.7025527192008876,12803.321329305916,4887.370153940708,988.7370153940708,13792.058344699986,2.2737367544323206e-13
488.0,1802.0,198.0,44.91997274631032,2.719029703541911,25.858585858585858,2.7081021087680353,12803.876976973716,4899.691525782523,989.9691525782523,13793.846129551966,2.2737367544323206e-13
489.0,1802.0,198.0,44.866764581519725,2.725853315614327,25.808080808080806,2.713651498335183,12804.40829440422,4911.987674737017,991.1987674737018,13795.607061877923,9.094947017729282e-13
490.0,1802.0,198.0,44.81354776189228,2.7326629877136615,25.757575757575758,2.7192008879023306,12804.915290328689,4924.258703860018,992.4258703860019,13797.34116071469,9.094947017729282e-13
491.0,1802.0,198.0,44.76032186299284,2.739458776679822,25.707070707070706,2.7247502774694783,12805.397972891918,4936.50471557704,993.650471557704,13799.048444449621,4.547473508864641e-13
492.0,1802.0,198.0,44.70708646027121,2.7462407390057804,25.656565656565654,2.7302996670366255,12805.856349653273,4948.725811688416,994.8725811688416,13800.728930822115,1.5916157281026244e-12
493.0,1802.0,198.0,44.65384112904091,2.7530089308403873,25.606060606060606,2.735849056603773,12806.290427587042,4960.922093374378,996.0922093374379,13802.38263692448,6.821210263296962e-13
494.0,1802.0,198.0,44.60058544445733,2.7597634079911617,25.555555555555554,2.741398446170921,12806.700213082617,4973.093661200073,997.3093661200073,13804.009579202624,0.0
495.0,1802.0,198.0,44.5473189815,2.7665042259270547,25.505050505050505,2.7469478357380686,12807.085711945498,4985.240615120552,998.5240615120553,13805.609773457552,9.094947017729282e-13
496.0,1802.0,198.0,44.49404131495083,2.773231439781178,25.454545454545453,2.7524972253052162,12807.446929397378,4997.363054485683,999.7363054485684,13807.183234845947,0.0
497.0,1802.0,198.0,44.44075201937325,2.7799451043535157,25.404040404040405,2.758046614872364,12807.783870076435,5009.461078045036,1000.9461078045035,13808.72997788094,4.547473508864641e-13
498.0,1802.0,198.0,44.387450669092665,2.7866452741135967,25.353535353535353,2.7635960044395116,12808.096538037778,5021.534783952701,1002.1534783952702,13810.250016433049,6.821210263296962e-13
499.0,1802.0,198.0,44.33413683817644,2.793332003203149,25.3030303030303,2.769145394006659,12808.384936753802,5033.584269772075,1003.3584269772075,13811.74336373101,4.547473508864641e-13
500.0,1802.0,198.0,44.28081010041174,2.8000053454387257,25.252525252525253,2.7746947835738065,12808.64906911405,5045.609632480584,1004.5609632480584,13813.210032362109,2.2737367544323206e-13
501.0,1802.0,198.0,44.22747002928729,2.806665354314303,25.2020202020202,2.780244173140954,12808.88893742582,5057.610968474374,1005.7610968474374,13814.650034273258,1.1368683772161603e-12
502.0,1802.0,198.0,44.17411619797073,2.8133120830038507,25.151515151515152,2.785793562708102,12809.10454341385,5069.588373572939,1006.958837357294,13816.063380771146,0.0
503.0,1802.0,198.0,44.12074817929002,2.8199455843638845,25.1010101010101,2.7913429522752495,12809.295888220771,5081.54194302372,1008.1541943023719,13817.450082523143,1.8189894035458565e-12
504.0,1802.0,198.0,44.06736554571245,2.8265659109359826,25.05050505050505,2.796892341842397,12809.462972407042,5093.471771506641,1009.347177150664,13818.810149557707,4.547473508864641e-13
505.0,1802.0,198.0,44.01396786932254,2.833173114949287,25.0,2.802441731409545,12809.605795950618,5105.377953138615,1010.5377953138616,13820.14359126448,2.0463630789890885e-12
506.0,1802.0,198.0,43.960554721802936,2.839767248322972,24.949494949494948,2.807991120976692,12809.724358247176,5117.260581477995,1011.7260581477996,13821.450416394975,4.547473508864641e-13
507.0,1802.0,198.0,43.907125674414345,2.846348362668697,24.8989898989899,2.81354051054384,12809.818658110133,5129.1197495289925,1012.9119749528993,13822.730633063033,0.0
508.0,1802.0,198.0,43.853680297973426,2.852916509293026,24.848484848484848,2.8190899001109875,12809.888693770168,5140.955549746032,1014.0955549746033,13823.984248744771,2.2737367544323206e-13
509.0,1802.0,198.0,43.80021816283275,2.8594717391998294,24.797979797979796,2.824639289678135,12809.934462875168,5152.768074038093,1015.2768074038094,13825.211270278976,6.821210263296962e-13
510.0,1802.0,198.0,43.74673883886038,2.8660141030926582,24.747474747474747,2.830188679245283,12809.955962490028,5164.55741377297,1016.455741377297,13826.411703867325,1.3642420526593924e-12
511.0,1802.0,198.0,43.69324189541768,2.8725436513771014,24.696969696969695,2.8357380688124305,12809.953189096082,5176.323659781537,1017.6323659781536,13827.585555074238,2.2737367544323206e-13
512.0,1802.0,198.0,43.63972690134066,2.8790604341631134,24.646464646464647,2.841287458379578,12809.926138591189,5188.06690236193,1018.806690236193,13828.73282882738,4.547473508864641e-13
513.0,1802.0,198.0,43.58619342491777,2.8855645012673183,24.595959595959595,2.8468368479467254,12809.874806289055,5199.787231283708,1019.9787231283708,13829.853529417425,9.094947017729282e-13
514.0,1802.0,198.0,43.53264103386812,2.892055902215304,24.545454545454543,2.852386237513873,12809.799186918666,5211.484735791977,1021.1484735791977,13830.947660497864,1.1368683772161603e-12
515.0,1802.0,198.0,43.4790692953233,2.898534686243874,24.494949494949495,2.857935627081021,12809.699274624329,5223.159504611461,1022.3159504611461,13832.015225085474,1.3642420526593924e-12
516.0,1802.0,198.0,43.42547777580252,2.905000902303296,24.444444444444443,2.8634850166481685,12809.575062964384,5234.81162595054,1023.481162595054,13833.056225559438,1.1368683772161603e-12
517.0,1802.0,198.0,43.37186604119481,2.911454599059517,24.393939393939394,2.869034406215316,12809.426544911297,5246.44118750525,1024.6441187505252,13834.070663661822,6.821210263296962e-13
518.0,1802.0,198.0,43.31823365673637,2.9178958248963642,24.343434343434343,2.874583795782464,12809.253712850725,5258.048276463248,1025.8048276463248,13835.058540497048,1.5916157281026244e-12
519.0,1802.0,198.0,43.264580186988866,2.9243246279177155,24.29292929292929,2.8801331853496115,12809.056558580745,5269.632979507724,1026.9632979507724,13836.019856531519,2.2737367544323206e-13
520.0,1802.0,198.0,43.21090519581938,2.9307410559496634,24.242424242424242,2.8856825749167587,12808.835073311402,5281.195382821294,1028.1195382821293,13836.95461159353,2.0463630789890885e-12
521.0,1802.0,198.0,43.1572082463787,2.9371451565426434,24.19191919191919,2.8912319644839064,12808.589247663842,5292.735572089843,1029.2735572089844,13837.862804872826,1.5916157281026244e-12
522.0,1802.0,198.0,43.10348890107862,2.943536976973549,24.141414141414142,2.896781354051054,12808.31907166927,5304.253632506336,1030.4253632506336,13838.744434919903,1.5916157281026244e-12
523.0,1802.0,198.0,43.04974672157202,2.94991656424783,24.09090909090909,2.9023307436182018,12808.024534768392,5315.74964877459,1031.574964877459,13839.59949964585,9.094947017729282e-13
524.0,1802.0,198.0,42.99598126873016,2.956283965101561,24.040404040404038,2.9078801331853494,12807.705625810284,5327.223705113012,1032.7223705113013,13840.427996321585,6.821210263296962e-13
525.0,1802.0,198.0,42.942192102621846,2.9626392260034997,23.98989898989899,2.913429522752497,12807.3623330516,5338.675885258306,1033.8675885258308,13841.229921577431,4.547473508864641e-13
526.0,1802.0,198.0,42.88837878249075,2.9689823931571193,23.939393939393938,2.9189789123196443,12806.994644155384,5350.106272469129,1035.010627246913,13842.005271402297,6.821210263296962e-13
527.0,1802.0,198.0,42.8345408667341,2.9753135125026278,23.88888888888889,2.924528301886792,12806.602546190114,5361.5149495297355,1036.1514949529737,13842.754041143087,9.094947017729282e-13
528.0,1802.0,198.0,42.78067791288143,2.981632629718958,23.838383838383837,2.9300776914539397,12806.18602562873,5372.901998753563,1037.2901998753564,13843.476225504086,2.2737367544323206e-13
529.0,1802.0,198.0,42.72678947757047,2.9879397902257514,23.787878787878785,2.9356270810210874,12805.745068347078,5384.267501986804,1038.4267501986806,13844.171818545758,6.821210263296962e-13
530.0,1802.0,198.0,42.67287511652729,2.9942350391853116,23.737373737373737,2.941176470588235,12805.279659623142,5395.611540611932,1039.561154061193,13844.840813684334,9.094947017729282e-13
531.0,1802.0,198.0,42.61893438454267,3.0005184215045495,23.686868686868685,2.9467258601553827,12804.789784135528,5406.934195551198,1040.6934195551198,13845.483203690648,2.2737367544323206e-13
532.0,1802.0,198.0,42.564966835449965,3.006789981836902,23.636363636363637,2.9522752497225304,12804.275425962182,5418.235547270097,1041.8235547270097,13846.098980689192,0.0
533.0,1802.0,198.0,42.5109720221033,3.013049764584235,23.585858585858585,2.9578246392896776,12803.736568579166,5429.515675780792,1042.9515675780792,13846.688136157245,1.8189894035458565e-12
534.0,1802.0,198.0,42.45694949635359,3.0192978138987363,23.535353535353533,2.9633740288568253,12803.17319485898,5440.774660645523,1044.0774660645525,13847.250660923532,4.547473508864641e-13
535.0,1802.0,198.0,42.402898809028144,3.0255341736847754,23.484848484848484,2.968923418423973,12802.585287069542,5452.012580979966,1045.2012580979967,13847.786545167539,6.821210263296962e-13
536.0,1802.0,198.0,42.348819509905326,3.03175888760076,23.434343434343432,2.9744728079911207,12801.972826872166,5463.229515456569,1046.322951545657,13848.295778417823,2.0463630789890885e-12
537.0,1802.0,198.0,42.294711147694564,3.0379719990609693,23.383838383838384,2.9800221975582684,12801.335795320603,5474.425542307867,1047.4425542307868,13848.77834955139,2.2737367544323206e-13
538.0,1802.0,198.0,42.24057327000974,3.0441735512373684,23.333333333333332,2.985571587125416,12800.674172858693,5485.600739329738,1048.5600739329739,13849.234246791668,2.2737367544323206e-13
539.0,1802.0,198.0,42.18640542334917,3.0503635870614105,23.282828282828284,2.9911209766925637,12799.987939319331,5496.755183884662,1049.6755183884661,13849.663457707797,4.547473508864641e-13
540.0,1802.0,198.0,42.1322071530712,3.05654214922582,23.232323232323232,2.996670366259711,12799.277073922534,5507.8889529049275,1050.7888952904927,13850.065969213025,4.547473508864641e-13
541.0,1802.0,198.0,42.077978003370205,3.062709280186359,23.18181818181818,3.0022197558268586,12798.541555273536,5519.0021228958185,1051.9002122895818,13850.44176756312,1.1368683772161603e-12
542.0,1802.0,198.0,42.023717517254426,3.0688650221635743,23.13131313131313,3.0077691453940063,12797.781361361262,5530.094769938761,1053.009476993876,13850.790838355137,1.8189894035458565e-12
543.0,1802.0,198.0,41.969425236521474,3.075009417144538,23.08080808080808,3.013318534961154,12796.996469556263,5541.166969694457,1054.116696969446,13851.113166525709,9.094947017729282e-13
544.0,1802.0,198.0,41.91510070173399,3.0811425068845626,23.03030303030303,3.0188679245283017,12796.186856608714,5552.218797405982,1055.221879740598,13851.408736349313,1.8189894035458565e-12
545.0,1802.0,198.0,41.86074345219781,3.0872643329089007,22.97979797979798,3.0244173140954493,12795.352498646822,5563.250327901839,1056.325032790184,13851.677531437006,2.0463630789890885e-12
550.0,1802.0,198.0,41.588450267826985,3.1177059447864757,22.727272727272727,3.0521642619311873,12790.80865428445,5618.106112505229,1061.810611250523,13852.619265534973,1.8189894035458565e-12
560.0,1802.0,198.0,41.04114153251493,3.177767629795403,22.22222222222222,3.1076581576026636,12779.849565440141,5726.337268891317,1072.6337268891316,13852.483292329272,1.3642420526593924e-12
570.0,1802.0,198.0,40.48980369298505,3.2367662201267393,21.717171717171716,3.1631520532741395,12766.368587012585,5832.652728668384,1083.2652728668386,13849.633859879425,6.821210263296962e-13
580.0,1802.0,198.0,39.93394256686011,3.29473869583297,21.21212121212121,3.218645948945616,12750.327845140213,5937.119129891012,1093.7119129891012,13844.039758129315,9.094947017729282e-13
590.0,1802.0,198.0,39.37304423731591,3.351720140363971,20.707070707070706,3.2741398446170917,12731.682482630838,6039.799692935876,1103.9799692935876,13835.662451924425,6.821210263296962e-13
600.0,1802.0,198.0,38.80657200143611,3.4077438680852414,20.2020202020202,3.329633740288568,12710.380261544993,6140.754450289605,1114.0754450289605,13824.455706573954,2.2737367544323206e-12
610.0,1802.0,198.0,38.233963025573914,3.462841541255943,19.696969696969695,3.385127635960044,12686.361090672523,6240.040457343209,1124.004045734321,13810.365136406843,6.821210263296962e-13
620.0,1803.0,197.0,37.847537409466895,3.5151939940450974,19.28934010152284,3.438713255684969,12660.070163801958,6337.894771263311,1133.7894771263311,13793.859640928289,1.8189894035458565e-12
630.0,1803.0,197.0,37.26084305419253,3.568528465199901,18.78172588832487,3.494176372712146,12631.037222155806,6434.056822755421,1143.4056822755422,13774.44290443135,4.547473508864641e-13
640.0,1803.0,197.0,36.666127610076146,3.621022988427032,18.2741116751269,3.5496394897393233,12599.061142505547,6528.704448133939,1152.870444813394,13751.93158731894,3.637978807091713e-12
650.0,1803.0,197.0,36.06268227932263,3.6727036102135835,17.76649746192893,3.6051026067665,12564.04455732014,6621.884609215091,1162.188460921509,13726.233018241648,2.0463630789890885e-12
660.0,1803.0,197.0,35.449748718030975,3.723595183982878,17.25888324873096,3.660565723793677,12525.878402501117,6713.642116721128,1171.364211672113,13697.24261417323,1.5916157281026244e-12
670.0,1803.0,197.0,34.82651236819967,3.7737214418646796,16.751269035532992,3.716028840820854,12484.440720249151,6804.019759682017,1180.401975968202,13664.842696217353,6.821210263296962e-13
680.0,1803.0,197.0,34.192094820705066,3.8231050611484814,16.243654822335024,3.771491957848031,12439.595262404539,6893.0584252507115,1189.305842525071,13628.90110492961,6.821210263296962e-13
690.0,1803.0,197.0,33.545545019406205,3.871767725885657,15.736040609137053,3.8269550748752077,12391.189857617679,6980.797209771839,1198.079720977184,13589.269578594862,4.547473508864641e-13
700.0,1803.0,197.0,32.88582907345328,3.9197301840593224,15.228426395939085,3.8824181919023846,12339.05449714336,7067.273521858959,1206.727352185896,13545.781849329254,2.2737367544323206e-12
710.0,1804.0,196.0,32.37688917613069,3.965164042635005,14.795918367346937,3.9356984478935697,12283.710618143808,7153.155932913549,1215.315593291355,13499.026211435164,3.183231456205249e-12
720.0,1804.0,196.0,31.68734655592287,4.011784849217472,14.285714285714285,3.991130820399113,12224.25380615037,7237.2598679883195,1223.7259867988319,13447.979792949202,5.002220859751105e-12
730.0,1804.0,196.0,30.980909801816114,4.057762589658591,13.775510204081632,4.046563192904657,12160.441661725647,7320.203711744098,1232.0203711744098,13392.462032900057,9.094947017729282e-13
740.0,1804.0,196.0,30.25607227475602,4.103114763177853,13.265306122448978,4.101995565410199,12092.007295347743,7402.019032772847,1240.2019032772846,13332.209198625027,6.821210263296962e-13
750.0,1805.0,195.0,29.66066745914775,4.146010930470281,12.820512820512821,4.1551246537396125,12019.024911082783,7483.549729498857,1248.354972949886,13267.379884032667,4.547473508864641e-12
760.0,1805.0,195.0,28.893809895926825,4.190161686303682,12.307692307692308,4.2105263157894735,11941.210589106064,7563.241843778146,1256.3241843778146,13197.534773483876,1.3642420526593924e-12
770.0,1807.0,193.0,28.362031642538366,4.216917529845462,11.917098445595855,4.261206419479801,11831.84508579758,7619.96997643075,1261.996997643075,13093.842083440653,3.637978807091713e-12
780.0,1808.0,192.0,27.64356762550646,4.229267684321477,11.458333333333332,4.314159292035398,11689.429360025148,7646.51597325323,1264.651597325323,12954.08095735047,6.366462912410498e-12
790.0,1809.0,191.0,26.892586186990197,4.241453765655733,10.994764397905758,4.367053620784964,11541.994837579226,7672.789862071222,1267.2789862071222,12809.273823786349,9.094947017729282e-13
800.0,1810.0,190.0,26.106848120013737,4.253479908998018,10.526315789473685,4.419889502762431,11389.21991456038,7698.798635286412,1269.8798635286412,12659.099778089021,9.094947017729282e-13
810.0,1811.0,189.0,25.283415898254002,4.265350095373033,10.052910052910052,4.47266703478741,11230.659725218513,7724.549022720563,1272.4549022720562,12503.11462749057,1.2050804798491299e-11
820.0,1813.0,187.0,24.53511629093308,4.276516435093409,9.625668449197862,4.522890237175951,11066.058613546402,7753.324296824351,1275.3324296824353,12341.391043228836,2.0463630789890885e-12
830.0,1816.0,184.0,23.85087688604992,4.286984447219367,9.239130434782608,4.570484581497797,10895.208727568519,7785.16375615037,1278.516375615037,12173.725103183555,1.4551915228366852e-11
840.0,1819.0,181.0,23.110346701145534,4.297310018909199,8.83977900552486,4.617921935129192,10718.09898486359,7816.806924395833,1281.6806924395833,11999.779677303175,7.048583938740194e-12
850.0,1824.0,176.0,22.531090159087608,4.306399484440047,8.522727272727272,4.660087719298246,10534.857261656201,7854.872659618646,1285.4872659618645,11820.344527618065,2.2964741219766438e-11
860.0,1829.0,171.0,21.885719954015226,4.315358046446649,8.187134502923977,4.702022963367961,10345.968992392434,7892.789866950921,1289.278986695092,11635.247979087526,1.2960299500264227e-11
870.0,1836.0,164.0,21.393628817639954,4.323098946058155,7.926829268292682,4.738562091503267,10152.043824559449,7937.209664962773,1293.7209664962775,11445.764791055724,2.9103830456733704e-11
880.0,1845.0,155.0,21.061167691830196,4.329637656587586,7.741935483870968,4.769647696476965,9953.844320997367,7988.181476404096,1298.8181476404097,11252.662468637776,2.864908310584724e-11
890.0,1854.0,146.0,20.664042212924283,4.336071022190346,7.534246575342465,4.800431499460625,9752.118270713756,8039.075675140902,1303.9075675140903,11056.025838227848,2.637534635141492e-11
900.0,1864.0,136.0,20.320160063903803,4.341865073668735,7.352941176470588,4.828326180257511,9547.454616277588,8093.236497318523,1309.3236497318524,10856.77826600944,3.637978807091713e-11
910.0,1875.0,125.0,20.03794799057035,4.347030966696346,7.2,4.8533333333333335,9340.358255121379,8150.6830625556495,1315.068306255565,10655.426561376942,4.092726157978177e-12
920.0,1887.0,113.0,19.830986774235893,4.351580430264497,7.0796460176991145,4.87546369899311,9131.190550206851,8211.432271909107,1321.1432271909107,10452.333777397762,3.751665644813329e-11
930.0,1900.0,100.0,19.721770252699056,4.355525726582731,7.0,4.894736842105263,8920.126017726376,8275.498880507188,1327.549888050719,10247.675905777094,4.092726157978177e-11
940.0,1912.0,88.0,19.372170934795374,4.359925087242664,6.8181818181818175,4.916317991631799,8707.31013238917,8336.176766807974,1333.6176766807976,10040.927809069966,1.2278178473934531e-11
950.0,1926.0,74.0,19.3183152494254,4.363211697826477,6.756756756756756,4.932502596053998,8492.746485469896,8403.545730013795,1340.3545730013795,9833.101058471275,3.456079866737127e-11
