C_V,best_n_M,best_n_V,best_p_M,best_p_V,best_r_M,best_r_V,best_R_MV,best_R_V_subscriber,best_R_V_retained,best_R_industry_net,best_residual_inf,best_method
180.0,198.0,1380.0,63.3229432242851,3.09913102904624,41.41414141414141,1.3043478260869565,15887.06349648388,4276.800820083811,927.6800820083811,16814.74357849226,2.842170943040401e-14,least_squares
190.0,198.0,1405.0,62.63260040679681,3.134540865240367,40.90909090909091,1.3523131672597866,15864.881804642213,4404.029915662715,940.4029915662716,16805.284796208485,4.547473508864641e-13,least_squares
200.0,198.0,1428.0,61.95544356085681,3.169557818116723,40.4040404040404,1.4005602240896358,15840.693532893261,4526.128564270681,952.6128564270681,16793.30638932033,4.547473508864641e-13,least_squares
210.0,198.0,1450.0,61.2970084357918,3.202326501064486,39.898989898989896,1.4482758620689655,15815.84375417593,4643.373426543505,964.3373426543506,16780.18109683028,7.203198038041592e-10,root.hybr
220.0,198.0,1470.0,60.64666912769187,3.2353901487637664,39.39393939393939,1.4965986394557824,15788.461654097455,4756.023518682737,975.6023518682737,16764.064005965727,6.205027602845803e-10,root.hybr
230.0,198.0,1490.0,60.0183034404827,3.2646461851566593,38.888888888888886,1.5436241610738255,15761.514615510654,4864.322815883423,986.4322815883422,16747.946897099,6.359641702147201e-10,root.hybr
240.0,198.0,1508.0,59.3940597659365,3.2947557058798806,38.38383838383838,1.5915119363395225,15731.6662776756,4968.49160446686,996.849160446686,16728.515438122286,1.0959411156363785e-10,root.hybr
250.0,198.0,1524.0,58.77254922196337,3.3259406657940644,37.878787878787875,1.6404199475065617,15698.824963151885,5068.733574670154,1006.8733574670155,16705.6983206189,4.547473508864641e-13,least_squares
260.0,198.0,1540.0,58.167668590937375,3.3540566496987934,37.37373737373737,1.6883116883116882,15665.92089748813,5165.247240536141,1016.5247240536141,16682.44562154174,5.027231964049861e-10,root.hybr
270.0,198.0,1555.0,57.57030260905423,3.381483430244508,36.868686868686865,1.7363344051446945,15631.305977219927,5258.20673403021,1025.820673403021,16657.126650622948,2.842170943040401e-14,least_squares
280.0,198.0,1569.0,56.97924962855293,3.408401022565387,36.36363636363636,1.7845761631612491,15594.894510418064,5347.7812044050925,1034.7781204405092,16629.67263085857,5.256879376247525e-10,root.hybr
290.0,198.0,1582.0,56.39343099362106,3.4349748805511715,35.858585858585855,1.8331226295828065,15556.616571665727,5434.1302610319535,1043.4130261031955,16600.029597768924,8.706990684004268e-10,root.hybr
300.0,198.0,1594.0,55.811870121725626,3.46135614332703,35.35353535353535,1.8820577164366372,15516.411807318633,5517.401692463286,1051.7401692463286,16568.15197656496,8.340919066540664e-10,root.hybr
310.0,198.0,1606.0,55.24085796132978,3.4855218597050515,34.848484848484844,1.930261519302615,15475.663172360979,5597.748106686313,1059.7748106686313,16535.43798302961,8.017480013222666e-10,root.hybr
320.0,198.0,1617.0,54.67227799785041,3.509764886099327,34.34343434343434,1.978973407544836,15432.871882314732,5675.289820822612,1067.5289820822613,16500.400864396994,4.547473508864641e-13,least_squares
330.0,198.0,1627.0,54.10540452960519,3.5342138700035592,33.838383838383834,2.028272894898586,15388.01946670804,5750.165966495791,1075.0165966495792,16463.036063357617,5.684341886080802e-14,least_squares
340.0,198.0,1636.0,53.539554619203,3.5589804182541025,33.33333333333333,2.078239608801956,15341.074582439534,5822.491964263711,1082.2491964263713,16423.323778865906,7.103437837940874e-10,root.hybr
350.0,198.0,1645.0,52.981038183511274,3.5819969269443357,32.82828282828283,2.127659574468085,15293.392010676322,5892.384944823432,1089.2384944823434,16382.630505158664,2.837623469531536e-10,root.hybr
360.0,198.0,1653.0,52.422221069856995,3.605534246531189,32.323232323232325,2.1778584392014517,15243.553070396134,5959.948109516055,1095.9948109516056,16339.54788134774,7.185008144006133e-11,root.hybr
370.0,198.0,1661.0,51.869410954568274,3.6275139217104493,31.818181818181817,2.2275737507525584,15192.913930569468,6025.300623961056,1102.5300623961057,16295.443992965575,2.2737367544323206e-13,least_squares
380.0,198.0,1669.0,51.32194734119551,3.648006924038614,31.31313131313131,2.2768124625524266,15141.416774155114,6088.523556220447,1108.8523556220448,16250.269129777158,4.547473508864641e-13,least_squares
390.0,198.0,1675.0,50.765709796080294,3.6714816790879996,30.808080808080806,2.328358208955224,15086.369170849059,6149.7318124724,1114.97318124724,16201.342352096297,6.139089236967266e-11,root.hybr
400.0,198.0,1682.0,50.220519462885285,3.6914420508895742,30.3030303030303,2.378121284185493,15031.767830287925,6209.005529596264,1120.9005529596266,16152.66838324755,5.197478003537981e-10,root.hybr
410.0,198.0,1688.0,49.67233390744491,3.712339939701018,29.797979797979796,2.428909952606635,14974.908950067878,6266.429818215318,1126.642981821532,16101.55193188941,4.869775693805423e-10,root.hybr
420.0,198.0,1693.0,49.12072970046052,3.73424990206895,29.29292929292929,2.4808033077377436,14915.781056473643,6322.085084202732,1132.2085084202731,16047.989564893916,5.684341886080802e-14,least_squares
430.0,198.0,1699.0,48.578544615419375,3.752832325776803,28.787878787878785,2.5309005297233664,14857.007743198346,6376.062121494789,1137.6062121494788,15994.613955347824,5.684341886080802e-14,least_squares
440.0,198.0,1704.0,48.03200437405317,3.7725497285612417,28.28282828282828,2.5821596244131455,14795.919129784048,6428.4247374683555,1142.8424737468356,15938.761603530882,3.710738383233547e-10,root.hybr
450.0,198.0,1708.0,47.48072756594665,3.7934733363878013,27.777777777777775,2.6346604215456675,14732.511270752766,6479.252458550364,1147.9252458550363,15880.436516607802,3.774403012357652e-10,root.hybr
460.0,198.0,1713.0,46.93739181012282,3.8112114016845466,27.272727272727273,2.685347343841214,14669.348196381383,6528.605131085628,1152.8605131085628,15822.208709489947,4.547473508864641e-13,least_squares
470.0,198.0,1717.0,46.388451747167295,3.8302609736255855,26.767676767676768,2.73733255678509,14603.815728482741,6576.55809171513,1157.655809171513,15761.471537654255,3.637978807091713e-12,root.hybr
480.0,198.0,1720.0,45.833528296503864,3.8506759518555698,26.262626262626263,2.7906976744186047,14535.884976180187,6623.16263719158,1162.316263719158,15698.201239899347,1.950866135302931e-10,root.hybr
490.0,198.0,1724.0,45.285173062476524,3.868038092494473,25.757575757575758,2.842227378190255,14468.112170684777,6668.497671460471,1166.8497671460473,15634.961937830823,2.071374183287844e-10,root.hybr
500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,none
510.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,none
520.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,none
530.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,none
540.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,none
550.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,none
560.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,none
570.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,none
580.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,none
590.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,none
600.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,none
610.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,none
620.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,none
630.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,none
640.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,none
650.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,none
660.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,none
670.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,none
680.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,none
690.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,none
700.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,none
710.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,none
720.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,none
730.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,none
740.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,none
750.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,none
760.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,none
770.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,none
780.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,none
790.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,none
800.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,none
810.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,none
820.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,none
830.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,none
840.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,none
850.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,none
860.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,none
870.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,none
880.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,none
890.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,none
900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,none
910.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,none
920.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,none
930.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,none
940.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,none
950.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,none
960.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,none
970.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,none
980.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,none
990.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,none
