C_V,best_n_M,best_n_V,best_p_M,best_p_V,best_r_M,best_r_V,best_R_MV,best_R_V_subscriber,best_R_V_retained,best_R_industry_net,best_residual_inf,best_method
0.0,199.40435646903035,0.0,72.35000000000001,nan,50.14935569651462,nan,14426.905190534348,0.0,0.0,14426.905190534348,0.0,monopoly
10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,none
20.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,none
30.0,198.0,711.0,69.71103806993366,1.9835603257210204,48.98989898989899,0.42194092827004215,14572.065790275745,1410.3113915876454,641.0311391587645,15213.09692943451,2.3874235921539366e-12,root.hybr
40.0,198.0,773.0,69.55559626440046,2.184924825937943,48.484848484848484,0.5174644243208278,14792.06026175632,1688.94689045003,668.894689045003,15460.954950801322,1.9326762412674725e-12,root.hybr
50.0,198.0,836.0,69.39852676639103,2.3295800595861524,47.97979797979798,0.5980861244019138,14993.684336578046,1947.5289298140235,694.7528929814024,15688.437229559448,3.0320279620354995e-10,root.hybr
60.0,198.0,897.0,69.23979512643297,2.441009250505205,47.474747474747474,0.6688963210702341,15180.106202966579,2189.5852977031686,718.9585297703169,15899.064732736895,9.094947017729282e-13,root.hybr
70.0,198.0,955.0,69.07936578968176,2.5310199954730703,46.96969696969697,0.7329842931937173,15353.126112466092,2417.124095676782,741.7124095676782,16094.83852203377,6.821210263296962e-13,root.hybr
80.0,198.0,1008.0,68.91720204811848,2.610823490993847,46.464646464646464,0.7936507936507936,15514.145076557077,2631.7100789217975,763.1710078921798,16277.316084449256,1.0811618267325684e-10,root.hybr
90.0,198.0,1058.0,68.75326597692664,2.679245641204431,45.95959595959596,0.8506616257088846,15664.324362986334,2834.6418883942883,783.4641888394289,16447.788551825764,8.640199666842818e-11,root.hybr
100.0,198.0,1105.0,68.58745836980704,2.7393727299759396,45.45454545454545,0.9049773755656109,15804.622937182865,3027.0068666234133,802.7006866623414,16607.32362384521,6.821210263296962e-13,root.hybr
110.0,198.0,1148.0,68.40575192519442,2.796121235481912,44.94949494949495,0.9581881533101044,15933.291341688408,3209.947178333235,820.9947178333235,16754.28605952173,6.788241080357693e-10,root.hybr
120.0,198.0,1189.0,67.95152040636002,2.847437582323216,44.44444444444444,1.0092514718250631,16001.443997303355,3385.603285382304,838.5603285382304,16840.004325841586,1.5916157281026244e-11,root.hybr
130.0,198.0,1227.0,67.12485572458309,2.894583264095161,43.93939393939394,1.0594947025264874,15987.209732007737,3551.653665044763,855.1653665044763,16842.375098512213,6.023128662491217e-10,root.hybr
140.0,198.0,1262.0,66.30684514511755,2.939681820512935,43.43434343434343,1.109350237717908,15967.645950471866,3709.8784574873243,870.9878457487325,16838.6337962206,7.586606898257742e-10,root.hybr
150.0,198.0,1294.0,65.51625756087483,2.9838214217190093,42.92929292929293,1.15919629057187,15947.177424787173,3861.064919704398,886.1064919704398,16833.283916757613,2.0509105524979532e-10,root.hybr
160.0,198.0,1325.0,64.76510544756273,3.0231500398405733,42.42424242424242,1.2075471698113207,15928.597301127302,4005.6738027887595,900.567380278876,16829.16468140618,7.232756615849212e-10,root.hybr
170.0,198.0,1353.0,64.0295406860123,3.0629191249726704,41.91919191919192,1.2564671101256466,15907.565674309655,4144.129576088023,914.4129576088023,16821.978631918457,6.366462912410498e-10,root.hybr
