C_V,best_n_M,best_n_V,best_p_M,best_p_V,best_r_M,best_r_V,best_R_MV,best_R_V_subscriber,best_R_V_retained,best_R_industry_net,best_residual_inf,best_method
0.0,199.6620899597204,0.0,106.77900329046938,nan,500.84620480619975,nan,21319.718960790975,0.0,0.0,21319.718960790975,0.0,monopoly
1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,none
2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,none
3.0,199.0,711.0,104.4613273166071,1.9835603257210204,501.00502512562815,0.42194092827004215,21557.084388433694,1410.3113915876454,641.0311391587645,22198.115527592458,2.3874235921539366e-12,default:root.hybr
4.0,199.0,773.0,104.4462746309485,2.1849248259379435,500.50251256281405,0.517464424320828,21804.860852963775,1688.9468904500302,668.894689045003,22473.75554200878,1.9326762412674725e-12,default:root.hybr
5.0,199.0,836.0,104.43120682455843,2.329580059585852,500.0,0.5980861244019139,22034.58619491952,1947.528929813772,694.7528929813773,22729.3390879009,1.4779288903810084e-12,default:root.hybr
6.0,199.0,897.0,104.41612386702813,2.441009250505205,499.49748743718595,0.6688963210702341,22249.43541747145,2189.5852977031686,718.9585297703169,22968.393947241766,9.094947017729282e-13,default:root.hybr
7.0,199.0,955.0,104.40102572785713,2.5310199954730703,498.99497487437185,0.7329842931937173,22451.21580595267,2417.124095676782,741.7124095676782,23192.92821552035,6.821210263296962e-13,default:root.hybr
8.0,199.0,1008.0,104.38591237645258,2.610823490993745,498.4924623115578,0.7936507936507936,22641.33563394359,2631.710078921695,763.1710078921695,23404.50664183576,5.684341886080801e-13,default:root.hybr
9.0,199.0,1058.0,104.37078376804071,2.679245641060423,497.9899497487437,0.8506616257088847,22820.963669257835,2834.6418882419275,783.4641888241928,23604.42785808203,4.547473508864641e-13,default:root.hybr
10.0,199.0,1105.0,104.35557371910305,2.7393722422024913,497.48743718592965,0.9049773755656108,22991.064864971886,3027.006327633753,802.7006327633753,23793.76549773526,2.2737367544323206e-13,default:root.hybr
11.0,199.0,1148.0,104.32403850229292,2.7960417648477014,496.9849246231156,0.9581881533101045,23149.354013396936,3209.855946045161,820.9855946045161,23970.339608001454,2.6943780540023e-11,default:root.hybr
12.0,199.0,1188.0,103.9754744633782,2.849026570023563,496.4824120603015,1.01010101010101,23237.298626881457,3384.643565187993,838.4643565187994,24075.76298340026,5.684341886080802e-14,default:least_squares
13.0,199.0,1226.0,103.29350468199367,2.8959838906138664,495.97989949748745,1.0603588907014683,23250.83605662008,3550.4762498926,855.04762498926,24105.88368160934,2.842170943040401e-14,default:least_squares
14.0,199.0,1261.0,102.63397572813068,2.9410440531885134,495.47738693467335,1.1102299762093577,23261.95206586165,3708.6565510707155,870.8656551070716,24132.81772096872,5.684341886080802e-14,default:least_squares
15.0,199.0,1294.0,102.01315303291831,2.982838044543288,494.9748743718593,1.1591962905718702,23274.43064022586,3859.7924296390142,885.9792429639015,24160.40988318976,2.2737367544323206e-13,default:least_squares
16.0,199.0,1324.0,101.41523164249173,3.0244417114362,494.47236180904525,1.2084592145015105,23285.55584020323,4004.360825941529,900.4360825941529,24185.991922797384,2.842170943040401e-14,default:least_squares
17.0,199.0,1352.0,100.8442567849687,3.064175033146659,493.96984924623115,1.257396449704142,23296.495280541625,4142.764644814283,914.2764644814283,24210.771745023056,2.842170943040401e-14,default:least_squares
