C_V,n_M,n_V,p_M,p_V,r_M,r_V,R_MV,R_V_subscriber,R_V_retained,R_industry_net,residual_inf,method
28.0,171.0,1589.0,99.29366410102905,3.3966505074246665,568.421052631579,1.7621145374449338,21336.766451943982,5397.277656297795,1039.7277656297797,22376.494217573763,9.663381206337363e-13,default:least_squares
28.0,172.0,1588.0,99.18204858400843,3.397637826562731,565.1162790697674,1.7632241813602014,21415.216338172904,5395.448868581617,1039.5448868581616,22454.761225031067,5.684341886080801e-13,default:least_squares
28.0,173.0,1587.0,99.07054722096606,3.398623929819786,561.849710982659,1.7643352236925014,21493.45922818873,5393.616176624,1039.3616176624,22532.82084585113,5.400124791776761e-13,default:least_squares
28.0,174.0,1587.0,98.96644633682172,3.397474408476693,558.6206896551724,1.7643352236925014,21572.77436023424,5391.791886252511,1039.1791886252513,22611.953548859492,4.547473508864641e-13,default:least_squares
28.0,175.0,1586.0,98.8550804023137,3.3984644115636087,555.4285714285714,1.7654476670870112,21650.607171470794,5389.964556739883,1038.9964556739883,22689.60362714478,0.0,default:least_squares
28.0,176.0,1585.0,98.74371683539103,3.399453180488629,552.2727272727273,1.7665615141955837,21728.21412499585,5388.133291074478,1038.8133291074478,22767.0274541033,5.968558980384842e-13,default:least_squares
28.0,177.0,1585.0,98.63963345405192,3.3982966220810797,549.1525423728814,1.7665615141955837,21806.88525276585,5386.300145998512,1038.6300145998512,22845.5152673657,4.547473508864641e-13,default:least_squares
28.0,178.0,1584.0,98.52814773204348,3.399289337524545,546.0674157303371,1.7676767676767677,21884.03717587873,5384.47431063888,1038.447431063888,22922.48460694262,4.547473508864641e-13,default:least_squares
28.0,179.0,1583.0,98.41651440284912,3.4002808001702887,543.0167597765363,1.7687934301958308,21960.936134112602,5382.644506669567,1038.2644506669567,22999.20058477956,2.842170943040401e-14,default:least_squares
28.0,180.0,1582.0,98.30467109914632,3.4012710257437724,540.0,1.7699115044247786,22037.57048430032,5380.810762726648,1038.0810762726649,23075.651560572984,9.947598300641403e-13,default:least_squares
28.0,181.0,1582.0,98.19988434844433,3.4001125557347276,537.0165745856353,1.7699115044247786,22115.25932392353,5378.978063172339,1037.897806317234,23153.15713024076,9.094947017729282e-13,default:least_squares
28.0,182.0,1581.0,98.08741143077646,3.401106740740133,534.065934065934,1.7710309930423782,22191.343661800453,5377.149757110151,1037.714975711015,23229.058637511465,1.1368683772161603e-13,default:least_squares
28.0,183.0,1580.0,97.9744840633956,3.402099669936206,531.1475409836065,1.7721518987341771,22267.116314250678,5375.317478499205,1037.5317478499205,23304.648062100598,2.2737367544323206e-13,default:least_squares
28.0,184.0,1579.0,97.86099399474551,3.403091359114453,528.2608695652174,1.7732742241925268,22342.556025470723,5373.481256041721,1037.3481256041723,23379.904151074894,4.547473508864641e-13,default:least_squares
28.0,185.0,1579.0,97.75416574000252,3.40193095289627,525.4054054054054,1.7732742241925268,22419.004739061354,5371.64897462321,1037.164897462321,23456.16963652368,8.526512829121202e-14,default:least_squares
28.0,186.0,1578.0,97.63915660061713,3.402926614589084,522.5806451612902,1.7743979721166032,22493.719505754205,5369.818197821574,1036.9818197821573,23530.701325536364,9.094947017729282e-13,default:least_squares
28.0,187.0,1577.0,97.52312327118649,3.4039210174241425,519.7860962566845,1.7755231452124287,22568.00915174196,5367.983444477873,1036.7983444477873,23604.807496189747,1.1368683772161603e-13,default:least_squares
28.0,188.0,1576.0,97.40584225340717,3.4049141772597338,517.0212765957447,1.7766497461928934,22641.828612665755,5366.14474336134,1036.6144743361342,23678.443087001888,4.547473508864641e-13,default:least_squares
28.0,189.0,1576.0,97.29440184756403,3.4037518097980257,514.2857142857142,1.7766497461928934,22716.523516207122,5364.312852241688,1036.4312852241687,23752.95480143129,2.2737367544323206e-13,default:least_squares
28.0,190.0,1575.0,97.1737284024939,3.404748955403329,511.57894736842104,1.7777777777777777,22789.24004075806,5362.479604760243,1036.2479604760242,23825.488001234084,2.2737367544323206e-13,default:least_squares
28.0,191.0,1574.0,97.05071704956246,3.4057448390647305,508.90052356020936,1.7789072426937738,22861.265095485527,5360.642376687886,1036.0642376687888,23897.329333154317,4.831690603168681e-13,default:least_squares
28.0,192.0,1574.0,96.93212348023683,3.4045752044260547,506.25,1.7789072426937738,22933.88894279542,5358.80137176661,1035.880137176661,23969.76907997208,2.2737367544323206e-13,default:least_squares
28.0,193.0,1573.0,96.8023759253638,3.4055751225334427,503.6269430051814,1.7800381436745072,23004.13125456581,5356.969667745106,1035.6969667745107,24039.82822134032,2.2737367544323206e-13,default:least_squares
28.0,194.0,1572.0,96.66760846820736,3.4065737593775274,501.03092783505156,1.7811704834605597,23073.13659759955,5355.133949741473,1035.5133949741473,24108.6499925737,6.821210263296962e-13,default:least_squares
28.0,195.0,1571.0,96.52595791645986,3.4075711311529058,498.46153846153845,1.7823042647994907,23140.526616046765,5353.294247041215,1035.3294247041217,24175.85604075089,2.842170943040401e-14,default:least_squares
28.0,196.0,1571.0,96.3817437851362,3.4063994670433706,495.9183673469388,1.7823042647994907,23207.129988339315,5351.453562725135,1035.1453562725137,24242.27534461183,1.4210854715202004e-13,default:least_squares
28.0,197.0,1570.0,96.21459222359371,3.4074008870533867,493.4010152284264,1.7834394904458597,23268.932121454396,5349.619392673817,1034.9619392673817,24303.894060721777,2.8194335754960775e-10,default:root.hybr
28.0,198.0,1569.0,96.01959491028819,3.4084010225653856,490.90909090909093,1.7845761631612493,23324.882876201642,5347.78120440509,1034.7781204405092,24359.660996642153,5.684341886080802e-14,default:least_squares
28.0,199.0,1568.0,95.75905357919224,3.4093998898442677,488.4422110552764,1.7857142857142858,23367.396786807487,5345.939027275812,1034.5939027275813,24401.990689535065,2.2737367544323206e-13,default:least_squares
