C_V,best_n_V,best_n_M,best_p_M,best_p_V,best_r_M,best_r_V,best_R_MV,best_R_V_subscriber,best_R_V_retained,best_R_industry_net,best_residual
0.0,0.0,199.62101595537388,106.80000000000001,nan,500.94925888141665,nan,21319.524504033932,0.0,0.0,21319.524504033932,0.0
5.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10.0,236.0,1764.0,3.9354571988776677,4.2112810811339685,56.12244897959184,4.237288135593221,7336.622600453061,993.8623351476166,599.3862335147617,7936.008833967822,2.476383542671101e-10
15.0,832.0,1168.0,12.195332143284165,1.3628293221758552,84.33219178082192,1.8028846153846154,14764.634539801185,1133.8739960503115,613.3873996050312,15378.021939406217,3.83124643121846e-11
20.0,844.0,1156.0,12.315480004076118,2.2740360510992965,84.7750865051903,2.3696682464454977,15464.052669127019,1919.2864271278063,691.9286427127806,16155.9813118398,4.5702108764089644e-11
25.0,1801.0,199.0,96.6652911845447,0.4913650535466654,489.9497487437186,1.3881177123820099,19532.846561018185,884.9484614375443,588.4948461437544,20121.341407161937,6.821210263296962e-13
30.0,1801.0,199.0,94.46108536277586,1.0991035761931807,487.43718592964825,1.6657412548584118,20079.29297384392,1979.4855407239183,697.9485540723919,20777.241527916314,2.2737367544323206e-13
35.0,1801.0,199.0,92.58514121241434,1.6129391756173752,484.9246231155779,1.9433647973348138,20538.85621102866,2904.903455286893,790.4903455286893,21329.34655655735,4.547473508864641e-13
40.0,1801.0,199.0,90.9493527119718,2.0580438176991174,482.41206030150755,2.220988339811216,20934.804413790887,3706.5369156761103,870.6536915676111,21805.4581053585,0.0
45.0,1801.0,199.0,89.49688813626322,2.450653936553729,479.8994974874372,2.498611882287618,21282.145704876322,4413.627739733266,941.3627739733266,22223.50847884965,6.821210263296962e-13
50.0,1801.0,199.0,88.18894178196324,2.8018556554131497,477.38693467336685,2.7762354247640197,21591.12724646986,5046.1420353990825,1004.6142035399082,22595.74145000977,0.0
55.0,1801.0,199.0,86.9978338277333,3.1195562547608997,474.8743718592965,3.053858967240422,21869.05766506087,5618.32081482438,1061.832081482438,22930.889746543307,6.821210263296962e-13
60.0,1801.0,199.0,85.90312531274247,3.4095941780596655,472.36180904522615,3.3314825097168237,22121.333140452665,6140.6791146854575,1114.0679114685458,23235.40105192121,2.2737367544323206e-13
65.0,1801.0,199.0,84.8892935335872,3.67640320363812,469.8492462311558,3.609106052193226,22352.051365960884,6621.202169752254,1162.1202169752255,23514.17158293611,6.821210263296962e-13
70.0,1801.0,199.0,83.94427137800653,3.9234297774838596,467.33668341708545,3.8867295946696276,22564.39733054689,7066.097029248431,1206.609702924843,23771.00703347173,2.2737367544323206e-13
75.0,1801.0,199.0,83.05849181446901,4.153406015773697,464.8241206030151,4.16435313714603,22760.895682046917,7480.284234408429,1248.028423440843,24008.924105487764,4.547473508864641e-13
80.0,1801.0,199.0,82.11417165767365,4.258464688081933,462.31155778894475,4.441976679622432,22743.26557278906,7669.494903235561,1266.9494903235561,24010.215063112617,6.821210263296962e-13
85.0,1801.0,199.0,81.18368288072998,4.319089309898367,459.79899497487435,4.719600222098833,22656.36475567953,7778.679847126959,1277.867984712696,23934.232740392225,2.2737367544323206e-13
90.0,1801.0,199.0,80.30127310050128,4.376247723738317,457.286432160804,4.997223764575236,22573.413282407193,7881.622150452708,1288.1622150452708,23861.57549745246,0.0
95.0,1801.0,199.0,79.46168716555269,4.4303149450085915,454.77386934673365,5.274847307051638,22493.97324030941,7978.997215960473,1297.8997215960474,23791.872961905457,6.821210263296962e-13
100.0,1801.0,199.0,78.660478338493,4.4816082393961425,452.2613065326633,5.5524708495280395,22417.673984597313,8071.376439152453,1307.1376439152455,23724.811628512558,2.2737367544323206e-13
105.0,1801.0,199.0,77.8938503643789,4.530398403565575,449.74874371859295,5.830094392004441,22344.19899485084,8159.2475248216,1315.9247524821599,23660.123747333004,6.821210263296962e-13
110.0,1801.0,199.0,77.15853631226067,4.576918419200467,447.2361809045226,6.107717934480844,22273.27579182191,8243.030072980042,1324.303007298004,23597.578799119914,6.821210263296962e-13
115.0,1801.0,199.0,76.45170437049487,4.621370181771301,444.72361809045225,6.385341476957246,22204.66809736158,8323.087697370112,1332.3087697370113,23536.97686709859,4.547473508864641e-13
120.0,1801.0,199.0,75.77088370559659,4.6639297961900965,442.2110552763819,6.662965019433647,22138.16966405825,8399.737562938364,1339.9737562938365,23478.143420352084,4.547473508864641e-13
125.0,1801.0,199.0,75.1139054655936,4.704751790710352,439.69849246231155,6.940588561910049,22073.599365215538,8473.257975069344,1347.3257975069346,23420.925162722473,2.2737367544323206e-13
130.0,1801.0,199.0,74.47885536081289,4.743972503863634,437.1859296482412,7.218212104386452,22010.797248314328,8543.894479458404,1354.3894479458404,23365.18669626017,2.2737367544323206e-13
135.0,1801.0,199.0,73.86403519830154,4.78171283184648,434.67336683417085,7.4958356468628535,21949.621333601965,8611.864810155512,1361.1864810155512,23310.807814617518,6.821210263296962e-13
140.0,1801.0,199.0,73.2679314146445,4.8180804760173555,432.1608040201005,7.773459189339255,21889.944995090784,8677.362937307256,1367.7362937307257,23257.68128882151,4.547473508864641e-13
145.0,1801.0,199.0,72.68918913262468,4.853171795828626,429.64824120603015,8.051082731815658,21831.65480125093,8740.562404287355,1374.0562404287357,23205.711041679664,9.094947017729282e-13
150.0,1801.0,199.0,72.12659061737936,4.887073347504307,427.1356783919598,8.32870627429206,21774.648721828224,8801.619098855257,1380.1619098855258,23154.81063171375,2.2737367544323206e-13
155.0,1801.0,199.0,71.57903726594972,4.9198631703272975,424.62311557788945,8.606329816768461,21718.83462870751,8860.673569759463,1386.0673569759465,23104.901985683457,0.0
160.0,1801.0,199.0,71.04553445674844,4.951611868641878,422.1105527638191,8.883953359244863,21664.12903477456,8917.852975424023,1391.7852975424023,23055.914332316963,2.2737367544323206e-13
165.0,1801.0,199.0,70.52517873061603,4.982383527308631,419.59798994974875,9.161576901721265,21610.45602680715,8973.272732682844,1397.3272732682844,23007.783300075433,9.094947017729282e-13
170.0,1801.0,199.0,70.01714688561745,5.012236490458313,417.0854271356784,9.439200444197667,21557.746357621752,9027.037919315422,1402.7037919315421,22960.450149553297,4.547473508864641e-13
175.0,1801.0,199.0,69.5206866525524,5.041224027331565,414.57286432160805,9.716823986674068,21505.936669759663,9079.24447322415,1407.9244473224148,22913.861117082077,6.821210263296962e-13
180.0,1801.0,199.0,69.03510868387298,5.069394904298262,412.0603015075377,9.994447529150472,21454.968828467776,9129.98022264117,1412.998022264117,22867.966850731893,4.547473508864641e-13
185.0,1801.0,199.0,68.55977963997795,5.096793878486376,409.54773869346735,10.272071071626874,21404.78934599418,9179.325775153964,1417.9325775153966,22822.721923509576,0.0
190.0,1801.0,199.0,68.09411619721217,5.123462125568537,407.035175879397,10.549694614103275,21355.348882579263,9227.355288148934,1422.7355288148933,22778.084411394157,6.821210263296962e-13
195.0,1801.0,199.0,67.63757983384755,5.149437611971798,404.52261306532665,10.827318156579677,21306.60181218075,9274.137139161208,1427.4137139161207,22734.01552609687,0.0
200.0,1801.0,199.0,67.18967227580785,5.174755419956088,402.0100502512563,11.104941699056079,21258.505843092586,9319.734511340914,1431.9734511340914,22690.479294226676,4.547473508864641e-13
205.0,1801.0,199.0,66.74993150433872,5.199448032546459,399.49748743718595,11.38256524153248,21211.02168531796,9364.205906616173,1436.4205906616173,22647.442275979578,4.547473508864641e-13
210.0,1801.0,199.0,66.31792824433313,5.223545584125519,396.9849246231156,11.660188784008882,21164.112757931347,9407.60559701006,1440.760559701006,22604.87331763235,4.547473508864641e-13
215.0,1801.0,199.0,65.8932628654103,5.247076081535713,394.47236180904525,11.937812326485284,21117.744930777888,9449.98402284582,1444.998402284582,22562.74333306247,4.547473508864641e-13
220.0,1801.0,199.0,65.47556263878285,5.270065599760413,391.9597989949749,12.215435868961688,21071.88629576944,9491.388145168503,1449.1388145168503,22521.02511028629,9.094947017729282e-13
225.0,1801.0,199.0,65.06447930189995,5.292538455612471,389.4472361809045,12.49305941143809,21026.506963780346,9531.86175855806,1453.1861758558061,22479.69313963615,2.2737367544323206e-13
230.0,1801.0,199.0,64.65968689025291,5.314517362331246,386.93467336683415,12.770682953914491,20981.578883763046,9571.445769558575,1457.1445769558577,22438.723460718906,6.821210263296962e-13
235.0,1801.0,199.0,64.26087980184114,5.3360235675522105,384.4221105527638,13.048306496390893,20937.075681211765,9610.178445161531,1461.0178445161532,22398.09352572792,9.094947017729282e-13
240.0,1801.0,199.0,63.86777106487918,5.357076976750042,381.90954773869345,13.325930038867295,20892.9725135251,9648.095635126825,1464.8095635126824,22357.78207703778,6.821210263296962e-13
245.0,1801.0,199.0,63.480090783570645,5.377696263952778,379.3969849246231,13.603553581343697,20849.24594017162,9685.230971378953,1468.5230971378953,22317.76903730951,4.547473508864641e-13
250.0,1801.0,199.0,63.09758474034544,5.397898971270298,376.88442211055275,13.881177123820098,20805.87380586077,9721.616047257807,1472.1616047257808,22278.035410586548,0.0
255.0,1801.0,199.0,62.720013135936895,5.417701598566477,374.3718592964824,14.1588006662965,20762.835135167847,9757.280579018226,1475.7280579018227,22238.56319306967,4.547473508864641e-13
260.0,1801.0,199.0,62.347149451217554,5.437119684423578,371.85929648241205,14.436424208772904,20720.11003727447,9792.252551646865,1479.2252551646866,22199.33529243916,6.821210263296962e-13
265.0,1801.0,199.0,61.97877941684693,5.456167879394274,369.3467336683417,14.714047751249305,20677.67961966272,9826.558350789086,1482.6558350789087,22160.335454741624,2.2737367544323206e-13
270.0,1801.0,199.0,61.61470007862091,5.474860012406426,366.83417085427135,14.991671293725707,20635.52590975514,9860.222882343973,1486.0222882343974,22121.548197989534,2.2737367544323206e-13
275.0,1801.0,199.0,61.25471894794954,5.493209151074622,364.321608040201,15.269294836202109,20593.631783618814,9893.269681085394,1489.3269681085394,22082.958751727354,4.547473508864641e-13
280.0,1801.0,199.0,60.89865322824339,5.511227656577301,361.80904522613065,15.54691837867851,20551.980900966584,9925.721009495719,1492.572100949572,22044.553001916152,6.821210263296962e-13
285.0,1801.0,199.0,60.546329109110616,5.5289272336767015,359.2964824120603,15.824541921154912,20510.55764577958,9957.59794785174,1495.759794785174,22006.31744056475,2.2737367544323206e-13
290.0,1801.0,199.0,60.1975811212645,5.546318976388571,356.78391959798995,16.102165463631316,20469.34707195987,9988.920476475816,1498.8920476475816,21968.239119607453,6.821210263296962e-13
295.0,1801.0,199.0,59.85225154588836,5.563413409747871,354.2713567839196,16.379789006107718,20428.33485349211,10019.707550955916,1501.9707550955918,21930.3056085877,9.094947017729282e-13
